  TEMPO #       VELOCID #                  POSICAO #              dv/dt #              dxdt
      0 #       1500.0             #       0.0                  # -9.81              # 1500.0            
    0.1 #       1499.019           #       150.0                # -9.809538006899349 # 1499.019          
    0.2 #       1498.03804619931   #       299.9019             # -9.809076348545133 # 1498.03804619931  
    0.3 #       1497.0571385644555 #       449.705704619931     # -9.808615024856072 # 1497.0571385644555
    0.4 #       1496.07627706197   #       599.4114184763765    # -9.808154035750958 # 1496.07627706197  
    0.5 #       1495.0954616583947 #       749.0190461825736    # -9.807693381148644 # 1495.0954616583947
    0.6 #       1494.1146923202798 #       898.528592348413     # -9.807233060968061 # 1494.1146923202798
    0.7 #       1493.133969014183  #       1047.940061580441    # -9.8067730751282   # 1493.133969014183 
    0.8 #       1492.1532917066702 #       1197.2534584818593   # -9.806313423548126 # 1492.1532917066702
    0.9 #       1491.1726603643153 #       1346.4687876525263   # -9.805854106146974 # 1491.1726603643153
    1.0 #       1490.1920749537007 #       1495.586053688958    # -9.80539512284394  # 1490.1920749537007
    1.1 #       1489.2115354414163 #       1644.605261184328    # -9.804936473558294 # 1489.2115354414163
    1.2 #       1488.2310417940605 #       1793.5264147284695   # -9.804478158209372 # 1488.2310417940605
    1.3 #       1487.2505939782395 #       1942.3495189078756   # -9.804020176716579 # 1487.2505939782395
    1.4 #       1486.270191960568  #       2091.0745783056996   # -9.803562528999391 # 1486.270191960568 
    1.5 #       1485.2898357076679 #       2239.701597501756    # -9.803105214977348 # 1485.2898357076679
    1.6 #       1484.30952518617   #       2388.230581072523    # -9.802648234570059 # 1484.30952518617  
    1.7 #       1483.329260362713  #       2536.66153359114     # -9.802191587697198 # 1483.329260362713 
    1.8 #       1482.3490412039434 #       2684.9944596274113   # -9.801735274278519 # 1482.3490412039434
    1.9 #       1481.3688676765155 #       2833.2293637478056   # -9.80127929423383  # 1481.3688676765155
    2.0 #       1480.3887397470921 #       2981.366250515457    # -9.800823647483014 # 1480.3887397470921
    2.1 #       1479.4086573823438 #       3129.405124490166    # -9.800368333946022 # 1479.4086573823438
    2.2 #       1478.428620548949  #       3277.3459902284003   # -9.799913353542872 # 1478.428620548949 
    2.3 #       1477.4486292135948 #       3425.188852283295    # -9.79945870619365  # 1477.4486292135948
    2.4 #       1476.4686833429755 #       3572.9337152046546   # -9.799004391818507 # 1476.4686833429755
    2.5 #       1475.4887829037937 #       3720.580583538952    # -9.798550410337667 # 1475.4887829037937
    2.6 #       1474.50892786276   #       3868.1294618293314   # -9.798096761671419 # 1474.50892786276  
    2.7 #       1473.5291181865928 #       4015.5803546156076   # -9.79764344574012  # 1473.5291181865928
    2.8 #       1472.5493538420187 #       4162.933266434266    # -9.797190462464195 # 1472.5493538420187
    2.9 #       1471.5696347957723 #       4310.188201818468    # -9.796737811764133 # 1471.5696347957723
    3.0 #       1470.589961014596  #       4457.345165298045    # -9.796285493560502 # 1470.589961014596 
    3.1 #       1469.61033246524   #       4604.404161399504    # -9.795833507773926 # 1469.61033246524  
    3.2 #       1468.6307491144626 #       4751.365194646028    # -9.795381854325097 # 1468.6307491144626
    3.3 #       1467.65121092903   #       4898.228269557474    # -9.79493053313478  # 1467.65121092903  
    3.4 #       1466.6717178757165 #       5044.9933906503775   # -9.794479544123808 # 1466.6717178757165
    3.5 #       1465.6922699213042 #       5191.660562437949    # -9.794028887213077 # 1465.6922699213042
    3.6 #       1464.7128670325828 #       5338.229789430079    # -9.793578562323551 # 1464.7128670325828
    3.7 #       1463.7335091763505 #       5484.701076133338    # -9.793128569376268 # 1463.7335091763505
    3.8 #       1462.7541963194128 #       5631.074427050973    # -9.792678908292324 # 1462.7541963194128
    3.9 #       1461.7749284285835 #       5777.349846682914    # -9.792229578992888 # 1461.7749284285835
    4.0 #       1460.7957054706842 #       5923.527339525773    # -9.791780581399193 # 1460.7957054706842
    4.1 #       1459.8165274125442 #       6069.606910072841    # -9.791331915432544 # 1459.8165274125442
    4.2 #       1458.837394221001  #       6215.588562814095    # -9.79088358101431  # 1458.837394221001 
    4.3 #       1457.8583058628994 #       6361.472302236195    # -9.790435578065928 # 1457.8583058628994
    4.4 #       1456.8792623050929 #       6507.258132822485    # -9.7899879065089   # 1456.8792623050929
    4.5 #       1455.900263514442  #       6652.946059052994    # -9.7895405662648   # 1455.900263514442 
    4.6 #       1454.9213094578156 #       6798.536085404438    # -9.789093557255264 # 1454.9213094578156
    4.7 #       1453.94240010209   #       6944.02821635022     # -9.788646879402002 # 1453.94240010209  
    4.8 #       1452.9635354141499 #       7089.422456360428    # -9.788200532626776 # 1452.9635354141499
    4.9 #       1451.984715360887  #       7234.718809901843    # -9.787754516851436 # 1451.984715360887 
    5.0 #       1451.005939909202  #       7379.917281437932    # -9.787308831997883 # 1451.005939909202 
